"Category","1h index","2h index","4h index"
"2023-01",139,186,225
"2023-02",118,153,178
"2023-03",131,159,180
"2023-04",83,145,163
"2023-05",104,168,191
"2023-06",189,364,432
"2023-07",272,529,640
"2023-08",134,262,322
"2023-09",132,219,269
"2023-10",168,254,297
"2023-11",131,174,204
"2023-12",113,142,165
"2024-01",86,104,124
"2024-02",63,81,98
"2024-03",81,124,152
"2024-04",153,199,235
"2024-05",176,229,271
"2024-06",213,279,372
"2024-07",186,251,297
"2024-08",190,266,321
"2024-09",174,241,296
"2024-10",144,235,275
"2024-11",129,194,241
"2024-12",121,201,258
"2025-01",55,111,159
"2025-02",65,130,170
"2025-03",136,215,262
"2025-04",156,206,253
"2025-05",220,301,359
"2025-06",188,276,324
"2025-07",163,223,291
"2025-08",165,245,300
"2025-09",228,360,398
"2025-10",213,347,424
"2025-11",130,209,265
"2025-12",129,203,255
"2026-01",91,129,164
"2026-02",77,110,143
