"Category","1h index","2h index","4h index"
"2023-01",54,124,156
"2023-02",32,67,93
"2023-03",42,85,103
"2023-04",38,50,60
"2023-05",42,79,79
"2023-06",41,66,86
"2023-07",49,84,106
"2023-08",58,112,147
"2023-09",54,92,115
"2023-10",65,100,110
"2023-11",43,77,119
"2023-12",37,57,57
"2024-01",7,14,21
"2024-02",4,5,8
"2024-03",15,31,53
"2024-04",19,37,52
"2024-05",30,60,109
"2024-06",34,68,104
"2024-07",52,95,126
"2024-08",71,133,189
"2024-09",34,75,98
"2024-10",60,98,111
"2024-11",61,109,171
"2024-12",63,101,130
"2025-01",37,66,84
"2025-02",27,54,81
"2025-03",32,58,101
"2025-04",40,72,114
"2025-05",35,67,101
"2025-06",62,98,121
"2025-07",44,73,84
"2025-08",33,66,87
"2025-09",59,99,139
"2025-10",99,174,210
"2025-11",87,141,192
"2025-12",61,90,126
"2026-01",119,173,227
"2026-02",228,324,447
