scenario,year,ours,simses,abs_divergence
baseline_2cd_080dod,1,0.9367672063196347,0.9182931998653467,0.018474006454287983
baseline_2cd_080dod,3,0.871209497974317,0.8584796708429048,0.012729827131412241
baseline_2cd_080dod,5,0.8166057342315169,0.8172980406749262,0.0006923064434092296
baseline_2cd_080dod,10,0.6961325153197655,0.741620411250343,0.04548789593057745
baseline_2cd_080dod,15,0.586011360538347,0.6835509238065897,0.09753956326824265
baseline_2cd_080dod,20,0.48124882846303385,0.6345960813498523,0.1533472528868185
deep_dod_095,1,0.9322987734006981,0.9134155023090101,0.01888327109168797
deep_dod_095,3,0.8578041992175074,0.8500312508513754,0.00777294836613196
deep_dod_095,5,0.7942635696368343,0.8063911773652731,0.012127607728438794
deep_dod_095,10,0.6514481861304002,0.7261957772348822,0.07474759110448193
deep_dod_095,15,0.518984866754299,0.6646596824030616,0.1456748156487626
deep_dod_095,20,0.3918801700843033,0.6127823547305461,0.22090218464624278
high_soc_dwell,1,0.9146134772480975,0.9121617413588705,0.0024517358892269803
high_soc_dwell,3,0.8328381136452987,0.8478596731851877,0.01502155953988904
high_soc_dwell,5,0.7670684900724463,0.803587682653226,0.036519192580779736
high_soc_dwell,10,0.6260762727874203,0.7222310369910638,0.09615476420364355
high_soc_dwell,15,0.500210336787892,0.6598038871230455,0.15959355033515354
high_soc_dwell,20,0.38217434014489243,0.607175365306452,0.22500102516155956
fcr_narrow,1,0.9542755914481995,0.9499242842933651,0.0043513071548344495
fcr_narrow,3,0.9207587360773192,0.9132663161707334,0.007492419906585779
fcr_narrow,5,0.8976606230726738,0.8880272956580103,0.009633327414663495
fcr_narrow,10,0.8551680137164936,0.8416466829039655,0.013521330812528154
fcr_narrow,15,0.8225216737223012,0.8060575870187856,0.016464086703515624
fcr_narrow,20,0.7949721377962925,0.7760545913160206,0.018917546480271885
hot_climate_30C,1,0.9131992895958557,0.9131475008859147,5.178870994104745e-05
hot_climate_30C,3,0.826296483799054,0.8495670587700734,0.023270574971019475
hot_climate_30C,5,0.7549859435892794,0.8057919079651651,0.05080596437588569
hot_climate_30C,10,0.5995361226393118,0.7253482823217342,0.12581215968242243
hot_climate_30C,15,0.4588218274886062,0.6636217173546535,0.20479988986604725
hot_climate_30C,20,0.32573520177079773,0.6115838159303302,0.28584861415953244
